name,mass (g),year,lat,long
Frontier Mountain 01156,0.1,2001,-72.98944,160.40222
Frontier Mountain 01161,0.3,2001,-72.9925,160.39528
Frontier Mountain 01155,0.3,2001,-72.98833,160.40139
Frontier Mountain 01129,0.3,2001,-72.95306,160.45667
Frontier Mountain 01114,0.3,2001,-72.95194,160.45917
Frontier Mountain 01125,0.3,2001,-72.95194,160.46722
Meteorite Hills 01154,0.4,2001,-79.68333,159.75
Frontier Mountain 01080,0.4,2001,-72.95194,160.45417
Frontier Mountain 01120,0.5,2001,-72.99194,160.40028
Frontier Mountain 01147,0.5,2001,-72.97361,160.33806
Meteorite Hills 01158,0.6,2001,-79.68333,159.75
Frontier Mountain 01158,0.6,2001,-72.98944,160.40222
Frontier Mountain 01159,0.6,2001,-72.98944,160.40222
Frontier Mountain 01157,0.7,2001,-72.98944,160.40222
Frontier Mountain 01043,0.7,2001,-72.98833,160.40694
Frontier Mountain 01063,0.7,2001,-72.98778,160.40861
Frontier Mountain 01010,0.7,2001,-72.9525,160.5075
Frontier Mountain 01123,0.7,2001,-72.95167,160.46306
Frontier Mountain 01142,0.8,2001,-72.99222,160.4
Frontier Mountain 01164,0.8,2001,-72.98944,160.40278
Frontier Mountain 01036,0.8,2001,-72.98889,160.40528
Frontier Mountain 01056,0.8,2001,-72.98806,160.40611
Frontier Mountain 01110,0.8,2001,-72.95222,160.4625
Frontier Mountain 01128,0.8,2001,-72.95222,160.45917
Dar al Gani 1048,0.8,2001,27.20167,16.31117
Frontier Mountain 01163,0.9,2001,-72.99333,160.4
Frontier Mountain 01047,0.9,2001,-72.98972,160.40444
Frontier Mountain 01160,0.9,2001,-72.98972,160.40306
Frontier Mountain 01097,0.9,2001,-72.95417,160.43833
Frontier Mountain 01079,0.9,2001,-72.9525,160.44972
Frontier Mountain 01146,1,2001,-72.99278,160.40694
Frontier Mountain 01073,1,2001,-72.99,160.40306
Frontier Mountain 01034,1,2001,-72.98889,160.40528
Frontier Mountain 01015,1.2,2001,-72.98889,160.40583
Frontier Mountain 01018,1.2,2001,-72.98889,160.40472
Frontier Mountain 01064,1.2,2001,-72.98806,160.40833
Meteorite Hills 01221,1.3,2001,-79.68333,159.75
Meteorite Hills 01317,1.3,2001,-79.68333,159.75
Frontier Mountain 01058,1.3,2001,-72.98889,160.40583
Frontier Mountain 01054,1.3,2001,-72.98833,160.40722
Frontier Mountain 01126,1.3,2001,-72.95167,160.46306
Meteorite Hills 01183,1.4,2001,-79.68333,159.75
Frontier Mountain 01143,1.4,2001,-72.99222,160.4
Meteorite Hills 01184,1.5,2001,-79.68333,159.75
Meteorite Hills 01249,1.5,2001,-79.68333,159.75
Frontier Mountain 01017,1.5,2001,-72.98889,160.40528
Frontier Mountain 01149,1.5,2001,-72.98833,160.34667
Frontier Mountain 01152,1.5,2001,-72.98806,160.39917
Frontier Mountain 01016,1.6,2001,-72.98917,160.40583
Frontier Mountain 01091,1.6,2001,-72.95194,160.45444
Meteorite Hills 01105,1.7,2001,-79.68333,159.75
Meteorite Hills 01257,1.7,2001,-79.68333,159.75
Frontier Mountain 01071,1.7,2001,-72.98972,160.4025
Frontier Mountain 01065,1.7,2001,-72.98806,160.40833
Frontier Mountain 01060,1.8,2001,-72.98944,160.40444
Meteorite Hills 01109,1.9,2001,-79.68333,159.75
Frontier Mountain 01135,1.9,2001,-72.9925,160.40167
Frontier Mountain 01019,1.9,2001,-72.99,160.40333
Frontier Mountain 01131,2,2001,-72.99222,160.39972
Frontier Mountain 01042,2,2001,-72.98917,160.40722
Frontier Mountain 01103,2,2001,-72.95417,160.41306
Dhofar 308,2,2001,18.40333,54.15
